_bucket_tempo,n,mean,median,std,MAE,MSE,RMSE
Q1,83980.0,-0.787130745415575,-1.15,4.028293974269796,1.9443681829006905,16.846533927125506,4.104452938836735
Q2,83982.0,1.6202614846038434,1.43,3.5928726771027457,1.934126836703103,15.533827644018954,3.9412977106555847
Q3,83970.0,2.4015355484101466,2.11,5.251327066880165,3.163859711801834,33.34348054543289,5.774381399373693
Q4,83980.0,3.5650666825434634,3.59,6.203827087263381,4.339043343653251,51.196712686353884,7.155187816287835
Q5,83966.0,5.913835361932211,6.03,5.198016469440901,6.370663601934116,61.99250211514184,7.873531743451717
