_bucket_tempo,n,mean,median,std,MAE,MSE,RMSE
Q1,83980.0,-0.8333972374374851,-0.66,5.000742486897493,1.9129852345796619,25.701678597285067,5.069682297470431
Q2,83982.0,1.6712864661475075,1.42,4.884173509647515,2.0940470577028414,26.648065273510994,5.162176408600446
Q3,83970.0,0.5394166964392045,0.46,7.082390538341637,2.2074486125997375,50.45062875074431,7.102860603358643
Q4,83980.0,-0.43755251250297683,-0.54,8.409009911671136,2.64163967611336,70.90205789235533,8.42033597265307
Q5,83966.0,-0.42921468213324443,-0.72,7.198163009614969,2.449306624109759,51.997158878593716,7.21090555191189
