bin_abs_error(m),count,perc(%)
<=0.5,88894,21.1714
0.5–1,89104,21.2214
1–2,113258,26.974
2–3,81668,19.4504
3–5,30104,7.1697
5–10,7138,1.7
10–20,3468,0.826
20–50,3784,0.9012
50–100,2276,0.5421
>100,184,0.0438
