bin_abs_error(m),count,perc(%)
<=0.5,42228,10.0572
0.5–1,33486,7.9752
1–2,95662,22.7833
2–3,70060,16.6858
3–5,76332,18.1796
5–10,94144,22.4218
10–20,2462,0.5864
20–50,4718,1.1237
50–100,786,0.1872
>100,0,0.0
