bin_abs_error(m),count,perc(%)
<=0.5,4048,0.9641
0.5–1,24980,5.9493
1–2,79622,18.9631
2–3,90482,21.5496
3–5,102672,24.4528
5–10,106982,25.4793
10–20,1970,0.4692
20–50,5898,1.4047
50–100,2932,0.6983
>100,292,0.0695
