_bucket_tempo,n,mean,median,std,MAE,MSE,RMSE
Q1,83980.0,2.963500039566815,1.9077997798511248,5.810876191692545,2.963500039566815,42.54821252441058,6.522899088933584
Q2,83982.0,3.0582017609485743,2.434296612987004,5.729719523695835,3.0582017609485743,42.18189291752994,6.4947588806305925
Q3,83970.0,4.243993607338484,2.768483339303309,8.110697317289278,4.243993607338484,83.79410929617721,9.153912239921093
Q4,83980.0,5.526447801589547,4.246045218788891,9.568606769723067,5.526447801589547,122.09877057870922,11.04983124661681
Q5,83966.0,7.287459737154937,6.132413880357391,7.802776215422364,7.287459737154937,113.98966099373555,10.676594072724482
