bin_abs_error(m),count,perc(%)
<=0.5,35718,16.6706
0.5–1,25602,11.9491
1–2,84964,39.655
2–3,46280,21.6001
3–5,16708,7.7981
5–10,1576,0.7356
10–20,1712,0.799
20–50,1476,0.6889
50–100,222,0.1036
>100,0,0.0
