bin_abs_error(m),count,perc(%)
<=0.5,1526,0.7122
0.5–1,21166,9.8787
1–2,73098,34.1168
2–3,66568,31.0691
3–5,40532,18.9174
5–10,6688,3.1215
10–20,1412,0.659
20–50,2308,1.0772
50–100,874,0.4079
>100,86,0.0401
