metric,manhã,tarde,diferença,diferença_%
mean,2.9811,6.31924,3.33814,111.98
median,2.15081,5.17186,3.02104,140.46
std,5.96152,8.88912,2.9276,49.11
var,35.53973,79.01654,43.4768,122.33
Q1,1.39129,3.6847,2.2934,164.84
Q2,2.15081,5.17186,3.02104,140.46
Q3,2.98605,6.30147,3.31542,111.03
IQR,1.59476,2.61677,1.02201,64.09
min,0.31321,0.25,-0.06321,-20.18
max,152.5916,149.88368,-2.70791,-1.77
range,152.27839,149.63368,-2.6447,-1.74
mad,1.81558,3.1094,1.29382,71.26
