FaixaErro(m),Quantidade,Percentual(%)
≤0.5,88894,21.171
0.5–1,89104,21.221
1–2,113258,26.974
2–3,81668,19.45
3–5,30104,7.17
5–10,7138,1.7
10–20,3468,0.826
20–50,3784,0.901
50–100,2276,0.542
>100,184,0.044
