Período,lat_n,lat_mean,lat_median,lat_std,lat_var,lat_mad,lat_iqr,lat_min,lat_q1,lat_q3,lat_max,lat_range,lat_mae,lat_mse,lat_rmse,lon_n,lon_mean,lon_median,lon_std,lon_var,lon_mad,lon_iqr,lon_min,lon_q1,lon_q3,lon_max,lon_range,lon_mae,lon_mse,lon_rmse,rad_n,rad_mean,rad_median,rad_std,rad_var,rad_mad,rad_iqr,rad_min,rad_q1,rad_q3,rad_max,rad_range,rad_mae,rad_mse,rad_rmse
manhã,214258,0.5596305388830288,0.83,4.099706913152511,16.80759677375049,1.7834809136511367,2.41,-87.88,-0.84,1.57,74.74,162.62,1.9197218306901027,17.120704668203757,4.1377173257973725,214258,0.5910685248625488,0.39,5.191972742081458,26.956580954516856,1.9457817917827973,2.35,-124.37,-0.66,1.69,134.16,258.53,1.9694978950610948,27.305817141950364,5.225496832067776,214258,2.981099951362494,2.1508137994721905,5.96152084318008,35.539730763670526,1.8155775115327686,1.5947565424085977,0.3132091952673165,1.3912943613772033,2.986050903785801,152.59159740955593,152.2783882142886,2.981099951362494,44.42652181015411,6.665322333552528
tarde,205620,4.608873553156307,4.7,5.8296726361204385,33.98508304433142,2.5362576788110527,3.17,-85.46,2.92,6.09,78.2,163.66,5.249418441785821,55.226633192296475,7.431462385849536,205620,-0.40736387510942496,-0.62,7.972244325448371,63.55667958464376,2.4837634572396605,2.6,-111.42,-1.84,0.76,130.45,241.87,2.5649106118081897,63.72231581363682,7.982625872082245,205620,6.319240317612262,5.1718565331996595,8.889124540610508,79.01653509848398,3.1094014161507912,2.6167699948760466,0.25,3.684698088039236,6.3014680829152825,149.88368356829235,149.63368356829235,6.319240317612262,118.94894900593327,10.906371945149004
