FaixaErro(m),Quantidade,Percentual(%)
≤0.5,42228,10.057
0.5–1,33486,7.975
1–2,95662,22.783
2–3,70060,16.686
3–5,76332,18.18
5–10,94144,22.422
10–20,2462,0.586
20–50,4718,1.124
50–100,786,0.187
>100,0,0.0
