bin_abs_error(m),count,perc(%)
<=0.5,2522,1.2265
0.5–1,3814,1.8549
1–2,6524,3.1728
2–3,23914,11.6302
3–5,62140,30.2208
5–10,100294,48.7764
10–20,558,0.2714
20–50,3590,1.7459
50–100,2058,1.0009
>100,206,0.1002
