bin_abs_error(m),count,perc(%)
<=0.5,6510,3.166
0.5–1,7884,3.8343
1–2,10698,5.2028
2–3,23780,11.565
3–5,59624,28.9972
5–10,92568,45.019
10–20,750,0.3648
20–50,3242,1.5767
50–100,564,0.2743
>100,0,0.0
