bin_abs_error(m),count,perc(%)
<=0.5,42408,20.6245
0.5–1,45298,22.03
1–2,52370,25.4693
2–3,42028,20.4396
3–5,15582,7.5781
5–10,2110,1.0262
10–20,1572,0.7645
20–50,2528,1.2295
50–100,1608,0.782
>100,116,0.0564
