,n,mean(m),median(m),std(m),var(m^2),min(m),p25(m),p50(m),p75(m),max(m),iqr(m),mad(m),MAE(m),MSE(m^2),RMSE(m),R2(baseline_0),outliers_tukey(n),outliers_tukey(%),perc_|e|<=0.5m,perc_|e|<=1m,perc_|e|<=2m,perc_|e|<=3m,perc_|e|<=5m,perc_|e|<=10m,perc_|e|<=20m,perc_|e|<=50m,perc_|e|<=100m
latitude_erro(tarde),205620,4.608873553156307,4.7,5.8296726361204385,33.98508304433142,-85.46,2.92,4.7,6.09,78.2,3.17,2.5362576788110527,5.249418441785821,55.226633192296475,7.431462385849536,-0.6250335980484372,6644,3.2312,3.166,7.0003,12.2031,23.7681,52.7653,97.7843,98.149,99.7257,100.0
longitude_erro(tarde),205620,-0.40736387510942496,-0.62,7.972244325448371,63.55667958464376,-111.42,-1.84,-0.62,0.76,130.45,2.6,2.4837634572396605,2.5649106118081897,63.72231581363682,7.982625872082245,-0.002610994389278476,6436,3.13,20.6245,42.6544,68.1237,88.5634,96.1414,97.1676,97.9321,99.1616,99.9436
erro_radial(tarde),205620,6.319240317612262,5.1718565331996595,8.889124540610508,79.01653509848398,0.25,3.684698088039236,5.1718565331996595,6.3014680829152825,149.88368356829235,2.6167699948760466,3.1094014161507912,6.319240317612262,118.94894900593327,10.906371945149004,-0.5053751388831451,6358,3.0921,1.2265,3.0814,6.2543,17.8844,48.1052,96.8816,97.153,98.8989,99.8998
